file,pmid,doi,decision,confidence,reason_label,primary_reason,picos_population,picos_intervention,picos_comparator,picos_outcome,picos_study_design,evidence_spans
2019 - A new formula to calculate the resection limit in hepatectomy based on Gd-EOB-DTPA-enhanced magnetic resonance imaging. - PMID 30682046.md,30682046,10.1371/journal.pone.0210579,exclude,0.9,wrong_population,Non-brain imaging target (\bliver\b) with no application to human brain MRI.,non-brain imaging (\bliver\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,"BACKGROUND AND AIM: Dynamic magnetic resonance imaging with gadolinium-ethoxybenzyl-diethylenetriamine pentaacetic acid (EOB-MRI) can be used not only | METHODS: Twenty-eight patients with a normal liver (NL group) and five with an unresectable cirrhotic liver (UL group) who underwent EOB-MRI were incl | Standardized liver function (SLF) was calculated based on the signal intensity (SI), the volume of each subsegment (S1-S8), and body surface area."
2019 - A new model of soft tissue with constraints for interactive surgical simulation. - PMID 31104713.md,31104713,10.1016/j.cmpb.2019.03.018,exclude,0.9,wrong_intervention_or_index,Purely clinical diagnostic/prognostic study with no technical MRI reconstruction or safety evaluation contribution.,clinical patient cohort,standard clinical MRI assessment,clinical reference standard,clinical diagnostic/prognostic accuracy,clinical observational study,BACKGROUND AND OBJECTIVES: An accurate and real-time model of soft tissue is critical for surgical simulation for which a user interacts haptically an
2019 - A novel amplitude binning strategy to handle irregular breathing during 4DMRI acquisition improved imaging for radiother - PMID 31088490.md,31088490,10.1186/s13014-019-1279-z,exclude,0.9,wrong_population,Non-brain imaging target (\babdominal\b) with no application to human brain MRI.,non-brain imaging (\babdominal\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,"BACKGROUND: For radiotherapy of abdominal cancer, four-dimensional magnetic resonance imaging (4DMRI) is desirable for tumor definition and the assess"
2019 - A novel convolutional neural network for predicting full dose from low dose PET scans - IEEEXPLORE 9059962.md,,10.1109/nss/mic42101.2019.9059962,flagged,0.9,insufficient_information,"Proposes or evaluates a methodology for assessing safety, artifacts, or fidelity of brain MRI reconstruction.",brain MRI reconstruction,AI/DL reconstruction or quality assessment framework,ground truth / baseline metrics,reconstruction fidelity / artifact detection / safety assessment,technical evaluation study,"In this work, we propose a deep learning algorithm to reconstruct full-dose (FD) from low-dose (LD) PET images using a fully convolutional encoder-dec | The goal is to train a model to learn to reconstruct from images with only 5% of the counts to produce images corresponding to 100% of the dose. | The structural similarity index (SSIM) and peak signal to noise ratio (PSNR) were used as quantitative metrics for assessment."
2019 - A novel finite element model-based navigation system-supported workflow for breast tumor excision. - PMID 30980230.md,30980230,10.1007/s11517-019-01977-0,exclude,0.9,wrong_population,Non-brain imaging target (\bbreast\b) with no application to human brain MRI.,non-brain imaging (\bbreast\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,"A novel finite element model-based navigation system-supported workflow for breast tumor excision. | In the case of female breast cancer, a breast-conserving excision is often desirable. | g., 2D mammography images in standing position with a compressed breast and 3D MRI images in prone position."
2019 - A novel model for in vivo quantification of immediate liver perfusion impairment after pancreatic islet transplantation. - PMID 31498024.md,31498024,10.1080/19382014.2019.1651164,exclude,0.9,wrong_population,Non-brain imaging target (\bhepatic\b) with no application to human brain MRI.,non-brain imaging (\bhepatic\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,"In this study, we present a new experimental model enabling direct quantification of liver perfusion impairment after pancreatic islet transplantation | The ligation of hepatic arteries prevents the contrast agent from circumventing the portal vein obstruction and enables to discriminate between well-p"
2019 - A quantitative alternative to the Goutallier classification system using Lava Flex and Ideal MRI techniques volumetric i - PMID 31486009.md,31486009,10.1007/s10334-019-00774-y,exclude,0.85,wrong_intervention_or_index,Focuses on downstream image processing (segmentation/classification/registration) rather than MRI reconstruction safety or fidelity evaluation.,brain MRI dataset,segmentation/classification/registration model,competing algorithms,task accuracy (Dice/accuracy),algorithm evaluation,A quantitative alternative to the Goutallier classification system using Lava Flex and Ideal MRI techniques: volumetric intramuscular fatty infiltrati | OBJECTIVE: The Goutallier classification system is the most commonly used method for grading intramuscular fatty infiltration in rotator cuff tears. | Weighted Kappa analysis between histology and the Goutallier classification showed fair-to-moderate agreement.
2019 - A radiomics approach based on support vector machine using MR images for preoperative lymph node status evaluation in in - PMID 31410221.md,31410221,10.7150/thno.34149,exclude,0.9,wrong_intervention_or_index,Purely clinical diagnostic/prognostic study with no technical MRI reconstruction or safety evaluation contribution.,clinical patient cohort,standard clinical MRI assessment,clinical reference standard,clinical diagnostic/prognostic accuracy,clinical observational study,"Purpose: Accurate lymph node (LN) status evaluation for intrahepatic cholangiocarcinoma (ICC) patients is essential for surgical planning. | This study aimed to develop and validate a prediction model for preoperative LN status evaluation in ICC patients. | Methods and Materials: A group of 106 ICC patients, who were diagnosed between April 2011 and February 2016, was used for prediction model training."
2019 - A radiomics nomogram may improve the prediction of IDH genotype for astrocytoma before surgery. - PMID 30972543.md,30972543,10.1007/s00330-019-06056-4,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"METHODS: One hundred five astrocytomas (Grades II-IV) with contrast-enhanced T1-weighted imaging (CE-T1WI), T2 fluid-attenuated inversion recovery (T2 | KEY POINTS: • The radiomics signature based on multiparametric and multiregional MRI images could predict IDH genotype of Grades II-IV astrocytomas."
2019 - A resting state fMRI analysis pipeline for pooling inference across diverse cohorts an ENIGMA rs-fMRI protocol. - PMID 30191514.md,30191514,10.1007/s11682-018-9941-x,background_only,0.9,review_for_background,"Review/editorial/protocol covering relevant neuroimaging, MRI reconstruction, or quality evaluation topic, retained for background.",brain MRI / neuroimaging,MRI reconstruction or image quality evaluation literature,narrative/systematic synthesis,background knowledge synthesis,review / protocol,"A resting state fMRI analysis pipeline for pooling inference across diverse cohorts: an ENIGMA rs-fMRI protocol. | A meta- analysis would pool effects from studies conducted in a similar manner, yet to date, no such harmonized protocol exists for resting state fMRI | Here, we propose an initial pipeline for multi-site rsfMRI analysis to allow research groups around the world to analyze scans in a harmonized way, an"
2019 - A retrospective 4D-MRI based on 2D diaphragm profiles for lung cancer patients. - PMID 30932353.md,30932353,10.1111/1754-9485.12877,exclude,0.9,wrong_population,Non-brain imaging target (\blung\b) with no application to human brain MRI.,non-brain imaging (\blung\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,A retrospective 4D-MRI based on 2D diaphragm profiles for lung cancer patients.
"2019 - A stereotaxic breed-averaged, symmetric T2w canine brain atlas including detailed morphological and volumetrical data se - PMID 29407456.md",29407456,10.1016/j.neuroimage.2018.01.066,exclude,0.85,wrong_intervention_or_index,Focuses on downstream image processing (segmentation/classification/registration) rather than MRI reconstruction safety or fidelity evaluation.,brain MRI dataset,segmentation/classification/registration model,competing algorithms,task accuracy (Dice/accuracy),algorithm evaluation,Stereotaxic systems and automatic tissue segmentation routines enable neuronavigation as well as reproducible processing of neuroimage datasets. | The datasets were averaged after initial preprocessing using linear and nonlinear registration algorithms as implemented in SPM8. | TPM allows automatic tissue segmentation using SPM and enables unbiased automatic image processing or morphological characterization in different cani
